Image Name,Sigma,Intensity,Detail,PSNR (dB)
crab,5.0,1.0,0.0,34.429484448445386
crab,5.0,1.0,5.0,36.2974361362876
crab,5.0,1.0,10.0,35.914296516851
crab,5.0,1.0,15.0,35.709931016637796
crab,5.0,1.0,20.0,35.353145792776004
crab,5.0,1.0,25.0,35.273051808452465
crab,5.0,1.0,30.0,34.21724851438859
crab,5.0,1.0,35.0,35.11990763940286
crab,5.0,1.0,40.0,34.94644376499466
crab,5.0,1.0,45.0,33.677962372723236
crab,5.0,1.0,50.0,34.81793893653758
crab,5.0,1.0,55.0,34.7243775864535
crab,5.0,1.0,60.0,34.35586810546565
crab,5.0,1.0,65.0,34.37721471536155
crab,5.0,1.0,70.0,34.26920432350083
crab,5.0,1.0,75.0,34.2414287140393
crab,5.0,1.0,80.0,33.95683162519393
crab,5.0,1.0,85.0,34.48383459677938
crab,5.0,1.0,90.0,33.90592455896565
crab,5.0,1.0,95.0,34.36947347256977
crab,5.0,2.0,0.0,33.311047472261855
crab,5.0,2.0,5.0,35.87234688508792
crab,5.0,2.0,10.0,36.09882557302962
crab,5.0,2.0,15.0,35.92128883323666
crab,5.0,2.0,20.0,35.2646185996297
crab,5.0,2.0,25.0,35.53008257920839
crab,5.0,2.0,30.0,35.39745672423003
crab,5.0,2.0,35.0,35.13242651352026
crab,5.0,2.0,40.0,34.54092266125791
crab,5.0,2.0,45.0,35.1908534494046
crab,5.0,2.0,50.0,35.0727892620368
crab,5.0,2.0,55.0,35.05254519258685
crab,5.0,2.0,60.0,34.750668986348856
crab,5.0,2.0,65.0,34.93584928528522
crab,5.0,2.0,70.0,34.859930575783636
crab,5.0,2.0,75.0,34.388375803091805
crab,5.0,2.0,80.0,34.48438018865433
crab,5.0,2.0,85.0,34.10112934817309
crab,5.0,2.0,90.0,33.88076408225971
crab,5.0,2.0,95.0,34.436332536981816
crab,5.0,3.0,0.0,34.420290038396374
crab,5.0,3.0,5.0,35.69385290798668
crab,5.0,3.0,10.0,37.0255367935046
crab,5.0,3.0,15.0,36.73102290259144
crab,5.0,3.0,20.0,36.52780474671163
crab,5.0,3.0,25.0,36.19558884730723
crab,5.0,3.0,30.0,34.78618788929046
crab,5.0,3.0,35.0,35.69530808058197
crab,5.0,3.0,40.0,35.70249771645501
crab,5.0,3.0,45.0,34.56250034592442
crab,5.0,3.0,50.0,34.84309084672744
crab,5.0,3.0,55.0,35.15721750405674
crab,5.0,3.0,60.0,34.98175302459763
crab,5.0,3.0,65.0,34.97881217017809
crab,5.0,3.0,70.0,33.86292348885747
crab,5.0,3.0,75.0,34.46721572002809
crab,5.0,3.0,80.0,33.51142697736803
crab,5.0,3.0,85.0,34.57488701215839
crab,5.0,3.0,90.0,34.45776272386179
crab,5.0,3.0,95.0,34.18604063736941
crab,5.0,4.0,0.0,33.59499257067655
crab,5.0,4.0,5.0,35.74316101717924
crab,5.0,4.0,10.0,36.117982742261326
crab,5.0,4.0,15.0,36.72607677392567
crab,5.0,4.0,20.0,36.601762059646354
crab,5.0,4.0,25.0,36.304002939545434
crab,5.0,4.0,30.0,35.94008330711978
crab,5.0,4.0,35.0,33.868532688453804
crab,5.0,4.0,40.0,35.74628823369017
crab,5.0,4.0,45.0,35.63576097501807
crab,5.0,4.0,50.0,35.12516986092901
crab,5.0,4.0,55.0,34.80061943859145
crab,5.0,4.0,60.0,35.10995241649893
crab,5.0,4.0,65.0,35.11703992713896
crab,5.0,4.0,70.0,34.35444969467192
crab,5.0,4.0,75.0,34.83829287248293
crab,5.0,4.0,80.0,33.970706562181185
crab,5.0,4.0,85.0,34.630403279984606
crab,5.0,4.0,90.0,33.761162605456484
crab,5.0,4.0,95.0,33.706313507109186
crab,5.0,5.0,0.0,34.324539131357234
crab,5.0,5.0,5.0,35.697511788861924
crab,5.0,5.0,10.0,36.88353674153582
crab,5.0,5.0,15.0,35.704190934616406
crab,5.0,5.0,20.0,36.38504849232674
crab,5.0,5.0,25.0,36.37883710514885
crab,5.0,5.0,30.0,35.86016451926589
crab,5.0,5.0,35.0,35.938556720886034
crab,5.0,5.0,40.0,35.7087304143632
crab,5.0,5.0,45.0,35.313368574647576
crab,5.0,5.0,50.0,35.48712322890874
crab,5.0,5.0,55.0,35.39677722046385
crab,5.0,5.0,60.0,35.106017746125886
crab,5.0,5.0,65.0,34.71902399391664
crab,5.0,5.0,70.0,34.990913398264915
crab,5.0,5.0,75.0,34.76790742592339
crab,5.0,5.0,80.0,34.51368715942657
crab,5.0,5.0,85.0,34.53312874620997
crab,5.0,5.0,90.0,34.28310653196362
crab,5.0,5.0,95.0,34.438872671987035
crab,5.0,6.0,0.0,33.7767071965244
crab,5.0,6.0,5.0,35.067065734784194
crab,5.0,6.0,10.0,36.952447292357355
crab,5.0,6.0,15.0,37.087413048187145
crab,5.0,6.0,20.0,36.68986142658775
crab,5.0,6.0,25.0,36.65593553338356
crab,5.0,6.0,30.0,36.19084072211819
crab,5.0,6.0,35.0,35.97659803013825
crab,5.0,6.0,40.0,35.50735224402005
crab,5.0,6.0,45.0,35.791478702445566
crab,5.0,6.0,50.0,35.689657095589546
crab,5.0,6.0,55.0,33.90286308587278
crab,5.0,6.0,60.0,35.01003599016431
crab,5.0,6.0,65.0,34.63632773649208
crab,5.0,6.0,70.0,34.76764607391064
crab,5.0,6.0,75.0,34.27603611436701
crab,5.0,6.0,80.0,33.154883862967424
crab,5.0,6.0,85.0,33.68515485429513
crab,5.0,6.0,90.0,34.497301301188024
crab,5.0,6.0,95.0,34.59987041042007
crab,5.0,7.0,0.0,34.55823994451234
crab,5.0,7.0,5.0,34.58882736878978
crab,5.0,7.0,10.0,35.77041202953951
crab,5.0,7.0,15.0,36.9093021726589
crab,5.0,7.0,20.0,36.07721723039673
crab,5.0,7.0,25.0,36.158493994342535
crab,5.0,7.0,30.0,29.44103885670039
crab,5.0,7.0,35.0,36.284212867033226
crab,5.0,7.0,40.0,34.70722053351315
crab,5.0,7.0,45.0,33.502805482862136
crab,5.0,7.0,50.0,35.163408504299895
crab,5.0,7.0,55.0,34.84615594405277
crab,5.0,7.0,60.0,35.14139926590982
crab,5.0,7.0,65.0,34.10886361702754
crab,5.0,7.0,70.0,34.91414515139556
crab,5.0,7.0,75.0,33.54118149173343
crab,5.0,7.0,80.0,34.58933829824501
crab,5.0,7.0,85.0,34.243658437793265
crab,5.0,7.0,90.0,33.96837843611907
crab,5.0,7.0,95.0,34.0988625670114
crab,5.0,8.0,0.0,34.029771060632136
crab,5.0,8.0,5.0,34.403447239136106
crab,5.0,8.0,10.0,33.52557987705925
crab,5.0,8.0,15.0,36.72361070705378
crab,5.0,8.0,20.0,37.03995360116003
crab,5.0,8.0,25.0,35.19920657393643
crab,5.0,8.0,30.0,36.270686922093546
crab,5.0,8.0,35.0,36.17886270320549
crab,5.0,8.0,40.0,36.10811388514585
crab,5.0,8.0,45.0,33.31060010452281
crab,5.0,8.0,50.0,35.636611963072575
crab,5.0,8.0,55.0,35.31406325215628
crab,5.0,8.0,60.0,34.206868040750706
crab,5.0,8.0,65.0,33.76894479484149
crab,5.0,8.0,70.0,33.83365988156647
crab,5.0,8.0,75.0,34.746147720004345
crab,5.0,8.0,80.0,34.11195365122757
crab,5.0,8.0,85.0,34.486935345494516
crab,5.0,8.0,90.0,34.16913031840729
crab,5.0,8.0,95.0,33.041527952626865
crab,5.0,9.0,0.0,34.492441613418514
crab,5.0,9.0,5.0,34.012070086236314
crab,5.0,9.0,10.0,36.32225208935022
crab,5.0,9.0,15.0,33.87731917382069
crab,5.0,9.0,20.0,36.35572381018074
crab,5.0,9.0,25.0,36.464391044784854
crab,5.0,9.0,30.0,36.16339611937553
crab,5.0,9.0,35.0,34.75685456291259
crab,5.0,9.0,40.0,35.928320253283886
crab,5.0,9.0,45.0,35.146338045091
crab,5.0,9.0,50.0,33.76361558839727
crab,5.0,9.0,55.0,34.97131166194018
crab,5.0,9.0,60.0,34.650617399514545
crab,5.0,9.0,65.0,34.42391206347897
crab,5.0,9.0,70.0,34.677336209801034
crab,5.0,9.0,75.0,34.04747438422533
crab,5.0,9.0,80.0,34.475776696944315
crab,5.0,9.0,85.0,34.220143377359015
crab,5.0,9.0,90.0,34.631715217746766
crab,5.0,9.0,95.0,34.085304719757254
crab,5.0,10.0,0.0,34.488649650460246
crab,5.0,10.0,5.0,33.23626152805175
crab,5.0,10.0,10.0,35.15072180797389
crab,5.0,10.0,15.0,36.47861340381075
crab,5.0,10.0,20.0,37.12677693622457
crab,5.0,10.0,25.0,36.49381100008738
crab,5.0,10.0,30.0,36.17113190162382
crab,5.0,10.0,35.0,36.37805874750733
crab,5.0,10.0,40.0,36.12902211972918
crab,5.0,10.0,45.0,36.006653078259184
crab,5.0,10.0,50.0,35.528910061718456
crab,5.0,10.0,55.0,35.258530602926726
crab,5.0,10.0,60.0,34.50228397898971
crab,5.0,10.0,65.0,35.056596462026626
crab,5.0,10.0,70.0,35.067603156641304
crab,5.0,10.0,75.0,34.567562397982556
crab,5.0,10.0,80.0,33.581942525648486
crab,5.0,10.0,85.0,33.429790274599036
crab,5.0,10.0,90.0,34.72605168211727
crab,5.0,10.0,95.0,33.75096026506925
crab,10.0,1.0,0.0,27.779371479749827
crab,10.0,1.0,5.0,30.126077909734303
crab,10.0,1.0,10.0,29.403920064120346
crab,10.0,1.0,15.0,28.99267792840225
crab,10.0,1.0,20.0,28.35559557599874
crab,10.0,1.0,25.0,28.34833600703498
crab,10.0,1.0,30.0,28.230604100053128
crab,10.0,1.0,35.0,28.34546966268848
crab,10.0,1.0,40.0,27.656080560000834
crab,10.0,1.0,45.0,27.904561814683394
crab,10.0,1.0,50.0,28.362096710214356
crab,10.0,1.0,55.0,27.677085060442074
crab,10.0,1.0,60.0,28.237985226870066
crab,10.0,1.0,65.0,27.81247498969241
crab,10.0,1.0,70.0,27.478649685268035
crab,10.0,1.0,75.0,28.25374709036275
crab,10.0,1.0,80.0,27.919815126061653
crab,10.0,1.0,85.0,27.18936033123403
crab,10.0,1.0,90.0,28.213076385120093
crab,10.0,1.0,95.0,27.07236335274405
crab,10.0,2.0,0.0,27.66464772384161
